timestamp,segment_label,lat,lon,current_travel_time_s,free_flow_travel_time_s,delay_s,current_speed_kmh,free_flow_speed_kmh,congestion_ratio,congestion_pct,confidence,road_class
2026-07-08T07:30:04,170460549_6619,28.52011610635344,77.20423897632773,2140,1402,738,19,29,0.655,34.5,0.997235,FRC2
2026-07-08T07:30:04,704527734_3029,28.576332000003863,77.25540110001516,664,489,175,28,38,0.737,26.3,1,FRC2
2026-07-08T07:30:04,77766256_10745,28.670471233329323,77.13870981074123,1336,600,736,22,49,0.449,55.1,1,FRC1
2026-07-08T07:30:04,679552312_2865,28.681519363104893,77.22270159844264,171,117,54,26,38,0.684,31.6,1,FRC1
2026-07-08T07:30:04,243056161_1778,28.658273024031104,77.28995664967685,1054,744,310,24,34,0.706,29.4,0.977472,FRC2
2026-07-08T07:30:04,175803910_1611,28.69423226523117,77.25475338221595,899,899,0,48,48,1.0,0.0,1,FRC3
2026-07-08T07:30:04,77363984_6412,28.55095164931341,77.18330061418612,2081,1277,804,27,44,0.614,38.6,0.995329,FRC2
2026-07-08T07:30:04,605958418_2577,28.646296249470986,77.26868455346376,1211,969,242,40,50,0.8,20.0,0.999602,FRC2
2026-07-08T07:30:04,581439213_7413,28.57027647629832,77.20825330650094,79,56,23,27,38,0.711,28.9,1,FRC2
2026-07-08T07:30:04,1285857338_8836,28.633485398665247,77.13155249574339,1336,600,736,22,49,0.449,55.1,1,FRC1
2026-07-08T07:30:04,759114175_8113,28.51573539912596,77.22692866161098,17,13,4,9,12,0.75,25.0,0.98,FRC3
2026-07-08T07:30:04,615472620_2691,28.67924423613079,77.22948179850864,15,9,6,23,38,0.605,39.5,1,FRC1
2026-07-08T07:30:04,1252762961_4630,28.57252835004244,77.25834390015157,664,489,175,28,38,0.737,26.3,1,FRC2
2026-07-08T07:30:04,973071387_3595,28.616012819886286,77.24944693105083,113,113,0,43,43,1.0,0.0,1,FRC2
2026-07-08T07:30:04,1145543149_8549,28.63763346493056,77.0810092554196,601,419,182,23,33,0.697,30.3,0.953679,FRC3
2026-07-08T07:30:04,195207624_6778,28.60582435011361,77.12531875011909,952,781,171,32,39,0.821,17.9,1,FRC2
